;data_pregao;codbdi;sigla_acao;preco_fechamento
151;2016-01-04;12;FLMA11;1.81
152;2016-01-04;12;FLRP11B;600.0
153;2016-01-04;2;FLRY3;15.25
154;2016-01-04;12;FPAB11;300.0
155;2016-01-04;2;FRAS3;3.55
156;2016-01-04;2;FRIO3;1.78
157;2016-01-04;12;FVBI11B;76.0
158;2016-01-04;2;GEOO34;123.26
159;2016-01-04;2;GEPA4;45.0
160;2016-01-04;2;GFSA3;2.36
161;2016-01-04;2;GGBR3;3.33
162;2016-01-04;2;GGBR4;4.54
163;2016-01-04;2;GOAU3;1.44
164;2016-01-04;2;GOAU4;1.6
165;2016-01-04;2;GOLL4;2.41
166;2016-01-04;2;GPIV33;8.16
167;2016-01-04;2;GRND3;16.5
168;2016-01-04;2;GSGI34;71.62
169;2016-01-04;2;GSHP3;2.75
170;2016-01-04;2;GUAR3;44.78
171;2016-01-04;2;GUAR4;48.34
172;2016-01-04;12;GWIR11;278.99
173;2016-01-04;2;HAGA4;1.59
174;2016-01-04;2;HBOR3;1.49
175;2016-01-04;12;HCRI11B;212.22
176;2016-01-04;12;HGBS11;1390.0
177;2016-01-04;12;HGCR11;925.0
178;2016-01-04;12;HGJH11;999.99
179;2016-01-04;12;HGLG11;998.88
180;2016-01-04;12;HGRE11;1110.0
181;2016-01-04;2;HGTX3;14.25
182;2016-01-04;2;HOME34;264.16
183;2016-01-04;2;HSHY34;71.16
184;2016-01-04;12;HTMX11B;93.25
185;2016-01-04;2;HYPE3;21.09
186;2016-01-04;2;IDNT3;12.0
187;2016-01-04;2;IDVL4;1.02
188;2016-01-04;2;IGBR3;2.31
189;2016-01-04;2;IGTA3;18.27
190;2016-01-04;2;ITLC34;136.83
191;2016-01-04;2;ITSA3;6.8
192;2016-01-04;2;ITSA4;6.6
193;2016-01-04;2;ITUB3;23.1
194;2016-01-04;2;ITUB4;25.13
195;2016-01-04;2;JBSS3;12.05
196;2016-01-04;2;JHSF3;1.2
197;2016-01-04;2;JNJB34;404.89
198;2016-01-04;2;JPMC34;128.26
199;2016-01-04;12;JRDM11B;61.5
200;2016-01-04;2;JSLG3;6.5
201;2016-01-04;12;JSRE11;89.93
202;2016-01-04;2;KEPL3;15.35
203;2016-01-04;2;KLBN11;21.94
204;2016-01-04;2;KLBN3;9.0
205;2016-01-04;2;KLBN4;3.6
206;2016-01-04;12;KNCR11;107.0
207;2016-01-04;12;KNRE11;1.1
208;2016-01-04;12;KNRI11;106.0
209;2016-01-04;2;KROT3;9.42
210;2016-01-04;2;LAME3;11.7
211;2016-01-04;2;LAME4;18.77
212;2016-01-04;2;LATM33;23.0
213;2016-01-04;2;LCAM3;3.39
214;2016-01-04;2;LEVE3;23.6
215;2016-01-04;2;LIGT3;8.74
216;2016-01-04;2;LILY34;167.58
217;2016-01-04;2;LINX3;44.41
218;2016-01-04;2;LIXC4;1.17
219;2016-01-04;2;LLIS3;1.91
220;2016-01-04;2;LMTB34;857.13
221;2016-01-04;2;LOGN3;1.35
222;2016-01-04;2;LPSB3;2.22
223;2016-01-04;2;LREN3;16.15
224;2016-01-04;2;MAGG3;2.7
225;2016-01-04;12;MAXR11B;1019.02
226;2016-01-04;12;MBRF11;760.0
227;2016-01-04;2;MCDC34;118.38
228;2016-01-04;2;MDIA3;65.0
229;2016-01-04;2;MDLZ34;88.69
230;2016-01-04;2;MEAL3;4.14
231;2016-01-04;2;METB34;189.19
232;2016-01-04;12;MFII11;100.7
233;2016-01-04;2;MGLU3;17.95
234;2016-01-04;2;MILS3;2.55
235;2016-01-04;2;MLFT4;0.69
236;2016-01-04;2;MMXM3;0.24
237;2016-01-04;2;MNPR3;0.04
238;2016-01-04;2;MOSC34;56.47
239;2016-01-04;2;MPLU3;36.38
240;2016-01-04;2;MRCK34;211.11
241;2016-01-04;2;MRFG3;6.23
242;2016-01-04;2;MRVE3;8.33
243;2016-01-04;2;MSCD34;382.4
244;2016-01-04;2;MSFT34;217.6
245;2016-01-04;2;MTIG4;0.97
246;2016-01-04;2;MTSA4;8.98
247;2016-01-04;2;MULT3;37.59
248;2016-01-04;2;MWET4;1.4
249;2016-01-04;12;MXRF11;83.0
250;2016-01-04;2;MYPK3;11.46
251;2016-01-04;2;NATU3;23.71
252;2016-01-04;2;NFLX34;437.39
253;2016-01-04;2;NIKE34;248.64
254;2016-01-04;12;NSLU11B;175.0
255;2016-01-04;2;ODPV3;9.01
256;2016-01-04;2;OFSA3;34.7
257;2016-01-04;2;OIBR3;2.42
258;2016-01-04;2;OIBR4;1.84
259;2016-01-04;12;ONEF11;779.7
260;2016-01-04;2;ORCL34;144.03
261;2016-01-04;2;PARC3;9.56
262;2016-01-04;2;PCAR4;39.92
263;2016-01-04;2;PDGR3;1.65
264;2016-01-04;2;PEAB3;28.0
265;2016-01-04;2;PEPB34;395.71
266;2016-01-04;2;PETR3;8.67
267;2016-01-04;2;PETR4;6.87
268;2016-01-04;2;PFIZ34;128.86
269;2016-01-04;2;PFRM3;4.8
270;2016-01-04;2;PGCO34;314.85
271;2016-01-04;2;PINE4;3.7
272;2016-01-04;2;PLAS3;1.97
273;2016-01-04;12;PLRI11;116.63
274;2016-01-04;2;PMAM3;2.07
275;2016-01-04;2;PNVL3;280.0
276;2016-01-04;2;POMO3;1.66
277;2016-01-04;2;POMO4;1.73
278;2016-01-04;2;POSI3;1.61
279;2016-01-04;12;PQDP11;1410.0
280;2016-01-04;2;PRBC4;7.9
281;2016-01-04;2;PRIO3;2.3
282;2016-01-04;2;PRML3;9.15
283;2016-01-04;12;PRSV11;540.0
284;2016-01-04;2;PSSA3;28.63
285;2016-01-04;2;PTBL3;1.93
286;2016-01-04;2;QGEP3;5.57
287;2016-01-04;2;QUAL3;13.75
288;2016-01-04;2;RADL3;35.16
289;2016-01-04;2;RANI3;3.0
290;2016-01-04;2;RAPT3;1.66
291;2016-01-04;2;RAPT4;2.27
292;2016-01-04;12;RBCB11;573.99
293;2016-01-04;12;RBGS11;39.0
294;2016-01-04;12;RBRD11;59.1
295;2016-01-04;12;RBVO11;74.0
296;2016-01-04;2;RCSL3;2.5
297;2016-01-04;2;RCSL4;2.05
298;2016-01-04;2;RDNI3;4.25
299;2016-01-04;2;RENT3;23.35
300;2016-01-04;2;RLOG3;1.02
301;2016-01-04;2;RNEW11;24.3
302;2016-01-04;12;RNGO11;73.55
303;2016-01-04;2;ROMI3;1.68
304;2016-01-04;2;RSID3;0.64
305;2016-01-04;2;RUMO3;5.99
306;2016-01-04;12;SAAG11;83.22
307;2016-01-04;2;SANB11;14.65
308;2016-01-04;2;SANB3;7.8
309;2016-01-04;2;SANB4;6.52
310;2016-01-04;2;SAPR3;4.0
311;2016-01-04;2;SAPR4;2.97
312;2016-01-04;2;SBSP3;18.15
313;2016-01-04;2;SBUB34;234.09
314;2016-01-04;2;SCAR3;21.9
315;2016-01-04;12;SDIL11;69.9
316;2016-01-04;2;SEDU3;12.11
317;2016-01-04;2;SEER3;7.55
318;2016-01-04;2;SGPS3;2.72
319;2016-01-04;2;SHOW3;2.95
320;2016-01-04;2;SHUL4;3.8
321;2016-01-04;2;SLBG34;278.05
322;2016-01-04;2;SLCE3;16.12
323;2016-01-04;2;SLED4;4.8
324;2016-01-04;2;SMLE3;35.24
325;2016-01-04;2;SMTO3;44.47
326;2016-01-04;2;SNSL3;9.05
327;2016-01-04;12;SPTW11;60.2
328;2016-01-04;2;SSBR3;16.2
329;2016-01-04;2;STBP11;11.0
330;2016-01-04;2;SULA11;18.28
331;2016-01-04;2;SUZB5;18.36
332;2016-01-04;2;SWET3;0.12
333;2016-01-04;2;TAEE11;16.15
334;2016-01-04;2;TBLE3;32.66
335;2016-01-04;12;TBOF11;57.97
336;2016-01-04;2;TCSA3;2.59
337;2016-01-04;2;TECN3;3.35
338;2016-01-04;2;TELB4;0.67
339;2016-01-04;2;TENE7;0.54
340;2016-01-04;2;TERI3;54.99
341;2016-01-04;2;TGMA3;4.51
342;2016-01-04;12;THRA11B;61.0
343;2016-01-04;2;TIET11;14.2
344;2016-01-04;2;TIET4;3.13
345;2016-01-04;2;TIFF34;300.48
346;2016-01-04;2;TIMP3;6.79
347;2016-01-04;2;TOTS3;30.69
348;2016-01-04;2;TOYB3;1.37
349;2016-01-04;2;TOYB4;0.71
350;2016-01-04;2;TPIS3;4.59
351;2016-01-04;2;TRIS3;2.54
352;2016-01-04;12;TRNT11B;145.0
353;2016-01-04;2;TRPL4;44.4
354;2016-01-04;12;TRXL11;67.0
355;2016-01-04;2;TUPY3;19.14
356;2016-01-04;2;TWXB34;261.79
357;2016-01-04;2;UCAS3;1.68
358;2016-01-04;2;UGPA3;57.5
359;2016-01-04;2;UNIP5;5.39
360;2016-01-04;2;UNIP6;4.4
361;2016-01-04;2;UPAC34;79.37
362;2016-01-04;2;USIM3;3.88
363;2016-01-04;2;USIM5;1.46
364;2016-01-04;2;VAGR3;7.6
365;2016-01-04;2;VALE3;12.69
366;2016-01-04;2;VALE5;10.0
367;2016-01-04;2;VERZ34;185.41
